2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '19'
2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '20'
2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '21'
2014-04-20 10:22:52,146 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '22'
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '23'
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '24'
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '25'
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '26'
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,147 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '27'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '28'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '29'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '30'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '31'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '32'
2014-04-20 10:22:52,148 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '33'
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '34'
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '35'
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '36'
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '37'
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,149 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '38'
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '39'
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:read(112)) - Received IOException while reading '', attempting to reopen.
2014-04-20 10:22:52,150 INFO  s3native.NativeS3FileSystem (NativeS3FileSystem.java:seek(153)) - Opening key '' for reading at position '40'
