2014-04-20 10:23:31,138 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.createSymlink(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,boolean) throws java.io.IOException,org.apache.hadoop.fs.UnresolvedLinkException
2014-04-20 10:23:31,138 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.FileStatus org.apache.hadoop.fs.AbstractFileSystem.getFileLinkStatus(org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnsupportedFileSystemException,java.io.IOException
2014-04-20 10:23:31,138 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public boolean org.apache.hadoop.fs.AbstractFileSystem.supportsSymlinks()
2014-04-20 10:23:31,138 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.Path org.apache.hadoop.fs.AbstractFileSystem.getLinkTarget(org.apache.hadoop.fs.Path) throws java.io.IOException
2014-04-20 10:23:31,138 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract org.apache.hadoop.fs.FileChecksum org.apache.hadoop.fs.AbstractFileSystem.getFileChecksum(org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.setVerifyChecksum(boolean) throws org.apache.hadoop.security.AccessControlException,java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.setOwner(org.apache.hadoop.fs.Path,java.lang.String,java.lang.String) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.setTimes(org.apache.hadoop.fs.Path,long,long) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.modifyAclEntries(org.apache.hadoop.fs.Path,java.util.List) throws java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.removeAclEntries(org.apache.hadoop.fs.Path,java.util.List) throws java.io.IOException
2014-04-20 10:23:31,139 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.removeDefaultAcl(org.apache.hadoop.fs.Path) throws java.io.IOException
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.removeAcl(org.apache.hadoop.fs.Path) throws java.io.IOException
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.setAcl(org.apache.hadoop.fs.Path,java.util.List) throws java.io.IOException
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.permission.AclStatus org.apache.hadoop.fs.AbstractFileSystem.getAclStatus(org.apache.hadoop.fs.Path) throws java.io.IOException
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.FileSystem$Statistics org.apache.hadoop.fs.AbstractFileSystem.getStatistics()
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public boolean org.apache.hadoop.fs.AbstractFileSystem.isValidName(java.lang.String)
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(54)) - Skipping public void org.apache.hadoop.fs.AbstractFileSystem.checkScheme(java.net.URI,java.lang.String)
2014-04-20 10:23:31,140 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract int org.apache.hadoop.fs.AbstractFileSystem.getUriDefaultPort()
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public java.lang.String org.apache.hadoop.fs.AbstractFileSystem.getUriPath(org.apache.hadoop.fs.Path)
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract org.apache.hadoop.fs.FSDataOutputStream org.apache.hadoop.fs.AbstractFileSystem.createInternal(org.apache.hadoop.fs.Path,java.util.EnumSet,org.apache.hadoop.fs.permission.FsPermission,int,short,long,org.apache.hadoop.util.Progressable,org.apache.hadoop.fs.Options$ChecksumOpt,boolean) throws org.apache.hadoop.security.AccessControlException,org.apache.hadoop.fs.FileAlreadyExistsException,java.io.FileNotFoundException,org.apache.hadoop.fs.ParentNotDirectoryException,org.apache.hadoop.fs.UnsupportedFileSystemException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.renameInternal(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,org.apache.hadoop.fs.FileAlreadyExistsException,java.io.FileNotFoundException,org.apache.hadoop.fs.ParentNotDirectoryException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.renameInternal(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,boolean) throws org.apache.hadoop.security.AccessControlException,org.apache.hadoop.fs.FileAlreadyExistsException,java.io.FileNotFoundException,org.apache.hadoop.fs.ParentNotDirectoryException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract org.apache.hadoop.fs.FsStatus org.apache.hadoop.fs.AbstractFileSystem.getFsStatus() throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,java.io.IOException
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.FsStatus org.apache.hadoop.fs.AbstractFileSystem.getFsStatus(org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,141 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(54)) - Skipping public org.apache.hadoop.fs.RemoteIterator org.apache.hadoop.fs.AbstractFileSystem.listStatusIterator(org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,142 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public java.util.List org.apache.hadoop.fs.AbstractFileSystem.getDelegationTokens(java.lang.String) throws java.io.IOException
